"Northeast                                         ","Walmart                                           ",$5.76
"Northeast                                         ","AT&T                                              ",$5.42
"Northeast                                         ","AT&T                                              ",$5.20
"Northeast                                         ","AT&T                                              ",$5.17
"Northeast                                         ","AT&T                                              ",$5.09
"Northeast                                         ","AT&T                                              ",$5.59
"Northeast                                         ","AT&T                                              ",$5.32
"Northeast                                         ","AT&T                                              ",$5.17
"Northeast                                         ","AT&T                                              ",$5.18
"Northeast                                         ","AT&T                                              ",$5.45
"Northeast                                         ","AT&T                                              ",$5.96
"Northeast                                         ","AT&T                                              ",$5.42
"Northeast                                         ","AT&T                                              ",$5.77
"Northeast                                         ","AT&T                                              ",$5.28
"Northeast                                         ","AT&T                                              ",$5.20
"Northeast                                         ","AT&T                                              ",$5.12
"Northeast                                         ","AT&T                                              ",$5.78
"Northeast                                         ","AT&T                                              ",$5.30
"Northeast                                         ","AT&T                                              ",$5.24
"Northeast                                         ","AT&T                                              ",$5.15
"Northeast                                         ","AT&T                                              ",$5.07
"Northeast                                         ","AT&T                                              ",$5.24
"Northeast                                         ","General Electric                                  ",$6.66
"Northeast                                         ","General Electric                                  ",$5.50
"Northeast                                         ","General Electric                                  ",$4.99
"Northeast                                         ","General Electric                                  ",$5.31
"Northeast                                         ","General Electric                                  ",$5.60
"Northeast                                         ","General Electric                                  ",$5.63
"Northeast                                         ","General Electric                                  ",$5.27
"Northeast                                         ","General Electric                                  ",$5.04
"Northeast                                         ","General Electric                                  ",$5.22
"Northeast                                         ","General Electric                                  ",$5.53
"Northeast                                         ","General Electric                                  ",$5.22
"Northeast                                         ","AmerisourceBergen                                 ",$5.65
"Northeast                                         ","AmerisourceBergen                                 ",$5.25
"Northeast                                         ","Verizon                                           ",$5.34
"Northeast                                         ","Verizon                                           ",$5.43
"Northeast                                         ","Verizon                                           ",$5.66
"Northeast                                         ","Verizon                                           ",$5.29
"Northeast                                         ","Verizon                                           ",$5.15
"Northeast                                         ","Verizon                                           ",$5.62
"Northeast                                         ","Verizon                                           ",$5.41
"Northeast                                         ","Verizon                                           ",$5.19
"Northeast                                         ","Verizon                                           ",$5.20
"Northeast                                         ","Verizon                                           ",$5.48
"Northeast                                         ","Verizon                                           ",$5.26
"Northeast                                         ","Verizon                                           ",$5.10
"Northeast                                         ","Verizon                                           ",$5.14
"Northeast                                         ","Verizon                                           ",$6.04
"Northeast                                         ","Verizon                                           ",$5.55
"Northeast                                         ","Verizon                                           ",$5.32
"Northeast                                         ","Chevron                                           ",$5.28
"Northeast                                         ","Chevron                                           ",$5.42
"Northeast                                         ","Chevron                                           ",$5.81
"Northeast                                         ","Chevron                                           ",$5.15
"Northeast                                         ","Chevron                                           ",$5.45
"Northeast                                         ","Chevron                                           ",$5.20
"Northeast                                         ","Costco                                            ",$4.99
"Northeast                                         ","Costco                                            ",$5.50
"Northeast                                         ","Costco                                            ",$5.13
"Northeast                                         ","Costco                                            ",$7.79
"Northeast                                         ","Fannie Mae                                        ",$5.30
"Northeast                                         ","Kroger                                            ",$5.30
"Northeast                                         ","Kroger                                            ",$5.08
"Northeast                                         ","Kroger                                            ",$5.16
"Northeast                                         ","Kroger                                            ",$5.50
"Northeast                                         ","Kroger                                            ",$5.07
"Northeast                                         ","Kroger                                            ",$5.16
"Northeast                                         ","Kroger                                            ",$5.17
"Northeast                                         ","Kroger                                            ",$5.19
"Northeast                                         ","Kroger                                            ",$5.02
"Northeast                                         ","Kroger                                            ",$5.19
"Northeast                                         ","Kroger                                            ",$5.06
"Northeast                                         ","Amazon.com                                        ",$5.31
"Northeast                                         ","Amazon.com                                        ",$5.56
"Northeast                                         ","Amazon.com                                        ",$5.40
"Northeast                                         ","Amazon.com                                        ",$5.46
"Northeast                                         ","Amazon.com                                        ",$5.79
"Northeast                                         ","Walgreens Boots Alliance                          ",$4.99
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.15
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.12
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.15
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.50
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.23
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.02
"Northeast                                         ","Walgreens Boots Alliance                          ",$4.99
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.10
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.08
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.31
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.05
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.02
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.00
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.07
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.20
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.05
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.09
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.04
"Northeast                                         ","Walgreens Boots Alliance                          ",$4.99
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.04
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.05
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.27
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.03
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.12
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.18
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.01
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.09
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.04
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.06
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.08
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.01
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.16
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.18
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.04
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.17
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.44
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.14
"Northeast                                         ","HP                                                ",$5.09
"Northeast                                         ","HP                                                ",$5.18
"Northeast                                         ","HP                                                ",$5.53
"Northeast                                         ","HP                                                ",$5.16
"Northeast                                         ","HP                                                ",$5.01
"Northeast                                         ","HP                                                ",$5.03
"Northeast                                         ","HP                                                ",$5.06
"Northeast                                         ","HP                                                ",$5.13
"Northeast                                         ","HP                                                ",$5.27
"Northeast                                         ","HP                                                ",$5.06
"Northeast                                         ","HP                                                ",$5.02
"Northeast                                         ","HP                                                ",$7.57
"Northeast                                         ","Cardinal Health                                   ",$4.99
"Northeast                                         ","Cardinal Health                                   ",$5.06
"Northeast                                         ","Express Scripts Holding                           ",$5.45
"Northeast                                         ","Express Scripts Holding                           ",$5.24
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.06
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.50
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.06
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.13
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.24
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.17
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.19
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.14
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.05
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.18
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.09
"Northeast                                         ","J.P. Morgan Chase                                 ",$4.99
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.09
"Northeast                                         ","J.P. Morgan Chase                                 ",$6.84
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.01
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.08
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.19
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.62
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.42
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.07
"Northeast                                         ","J.P. Morgan Chase                                 ",$4.99
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.13
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.04
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.48
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.25
"Northeast                                         ","Boeing                                            ",$5.03
"Northeast                                         ","Boeing                                            ",$5.14
"Northeast                                         ","Boeing                                            ",$5.07
"Northeast                                         ","Boeing                                            ",$5.06
"Northeast                                         ","Boeing                                            ",$5.13
"Northeast                                         ","Boeing                                            ",$5.54
"Northeast                                         ","Boeing                                            ",$5.17
"Northeast                                         ","Boeing                                            ",$5.05
"Northeast                                         ","Boeing                                            ",$7.27
"Northeast                                         ","Boeing                                            ",$4.99
"Northeast                                         ","Microsoft                                         ",$5.37
"Northeast                                         ","Microsoft                                         ",$5.11
"Northeast                                         ","Microsoft                                         ",$5.53
"Northeast                                         ","Microsoft                                         ",$5.17
"Northeast                                         ","Microsoft                                         ",$6.31
"Northeast                                         ","Microsoft                                         ",$5.27
"Northeast                                         ","Microsoft                                         ",$5.62
"Northeast                                         ","Bank of America Corp.                             ",$6.27
"Northeast                                         ","Bank of America Corp.                             ",$5.93
"Northeast                                         ","Bank of America Corp.                             ",$5.96
"Northeast                                         ","Bank of America Corp.                             ",$6.10
"Northeast                                         ","Bank of America Corp.                             ",$5.88
"Northeast                                         ","Bank of America Corp.                             ",$6.57
"Northeast                                         ","Bank of America Corp.                             ",$5.89
"Northeast                                         ","Bank of America Corp.                             ",$6.18
"Northeast                                         ","Bank of America Corp.                             ",$6.00
"Northeast                                         ","Bank of America Corp.                             ",$6.13
"Northeast                                         ","Bank of America Corp.                             ",$5.82
"Northeast                                         ","Bank of America Corp.                             ",$5.86
"Northeast                                         ","Bank of America Corp.                             ",$5.41
"Northeast                                         ","Bank of America Corp.                             ",$6.25
"Northeast                                         ","Wells Fargo                                       ",$5.40
"Northeast                                         ","Wells Fargo                                       ",$5.42
"Northeast                                         ","Wells Fargo                                       ",$5.35
"Northeast                                         ","Wells Fargo                                       ",$5.11
"Northeast                                         ","Wells Fargo                                       ",$6.73
"Northeast                                         ","Wells Fargo                                       ",$5.25
"Northeast                                         ","Wells Fargo                                       ",$5.26
"Northeast                                         ","Wells Fargo                                       ",$5.47
"Northeast                                         ","Wells Fargo                                       ",$5.21
"Northeast                                         ","Wells Fargo                                       ",$5.51
"Northeast                                         ","Wells Fargo                                       ",$5.66
"Northeast                                         ","Wells Fargo                                       ",$5.06
"Northeast                                         ","Wells Fargo                                       ",$5.65
"Northeast                                         ","Wells Fargo                                       ",$5.50
"Northeast                                         ","Wells Fargo                                       ",$5.43
"Northeast                                         ","Wells Fargo                                       ",$5.18
"Northeast                                         ","Wells Fargo                                       ",$5.49
"Northeast                                         ","Wells Fargo                                       ",$5.62
"Northeast                                         ","Wells Fargo                                       ",$5.51
"Northeast                                         ","Wells Fargo                                       ",$5.41
"Northeast                                         ","Wells Fargo                                       ",$5.35
"Northeast                                         ","Wells Fargo                                       ",$5.14
"Northeast                                         ","Wells Fargo                                       ",$5.13
"Northeast                                         ","Wells Fargo                                       ",$5.46
"Northeast                                         ","Wells Fargo                                       ",$5.44
"Northeast                                         ","Wells Fargo                                       ",$5.70
"Northeast                                         ","Home Depot                                        ",$5.97
"Northeast                                         ","Home Depot                                        ",$6.23
"Northeast                                         ","Citigroup                                         ",$5.31
"Northeast                                         ","Citigroup                                         ",$5.06
"Northeast                                         ","Citigroup                                         ",$5.89
"Northeast                                         ","Citigroup                                         ",$6.18
"Northeast                                         ","Citigroup                                         ",$5.19
"Northeast                                         ","Citigroup                                         ",$5.36
"Northeast                                         ","Citigroup                                         ",$5.08
"Northeast                                         ","Citigroup                                         ",$5.03
"Northeast                                         ","Citigroup                                         ",$5.07
"Northeast                                         ","Citigroup                                         ",$4.99
"Northeast                                         ","Citigroup                                         ",$6.65
"Northeast                                         ","Citigroup                                         ",$5.02
"Northeast                                         ","Citigroup                                         ",$5.04
"Northeast                                         ","Citigroup                                         ",$5.07
"Northeast                                         ","Citigroup                                         ",$6.05
"Northeast                                         ","Citigroup                                         ",$5.16
"Northeast                                         ","Citigroup                                         ",$5.20
"Northeast                                         ","Citigroup                                         ",$5.12
"Northeast                                         ","Citigroup                                         ",$5.50
"Northeast                                         ","Citigroup                                         ",$5.00
"Northeast                                         ","Citigroup                                         ",$5.46
"Northeast                                         ","Citigroup                                         ",$4.99
"Northeast                                         ","Citigroup                                         ",$5.06
"Northeast                                         ","Citigroup                                         ",$5.92
"Northeast                                         ","Citigroup                                         ",$5.15
"Northeast                                         ","Citigroup                                         ",$5.36
"Northeast                                         ","Citigroup                                         ",$5.25
"Northeast                                         ","Citigroup                                         ",$5.02
"Northeast                                         ","Citigroup                                         ",$5.06
"Northeast                                         ","Citigroup                                         ",$4.99
"Northeast                                         ","Citigroup                                         ",$5.53
"Northeast                                         ","Citigroup                                         ",$5.02
"Northeast                                         ","Citigroup                                         ",$5.27
"Northeast                                         ","Citigroup                                         ",$5.85
"Northeast                                         ","Citigroup                                         ",$5.16
"Northeast                                         ","Citigroup                                         ",$6.02
"Northeast                                         ","Citigroup                                         ",$5.18
"Northeast                                         ","Citigroup                                         ",$5.14
"Northeast                                         ","Phillips 66                                       ",$5.11
"Northeast                                         ","Phillips 66                                       ",$5.67
"Northeast                                         ","Phillips 66                                       ",$5.44
"Northeast                                         ","Phillips 66                                       ",$6.02
"Northeast                                         ","Phillips 66                                       ",$5.20
"Northeast                                         ","Phillips 66                                       ",$5.39
"Northeast                                         ","Phillips 66                                       ",$5.39
"Northeast                                         ","Phillips 66                                       ",$5.34
"Northeast                                         ","Phillips 66                                       ",$5.50
"Northeast                                         ","Phillips 66                                       ",$5.50
"Northeast                                         ","Phillips 66                                       ",$5.69
"Northeast                                         ","Phillips 66                                       ",$5.14
"Northeast                                         ","Phillips 66                                       ",$5.27
"Northeast                                         ","Phillips 66                                       ",$5.31
"Northeast                                         ","Phillips 66                                       ",$5.21
"Northeast                                         ","Phillips 66                                       ",$5.47
"Northeast                                         ","Phillips 66                                       ",$5.36
"Northeast                                         ","Phillips 66                                       ",$5.43
"Northeast                                         ","Phillips 66                                       ",$5.34
"Northeast                                         ","Phillips 66                                       ",$5.69
"Northeast                                         ","IBM                                               ",$6.56
"Northeast                                         ","IBM                                               ",$5.44
"Northeast                                         ","IBM                                               ",$5.72
"Northeast                                         ","IBM                                               ",$5.92
"Northeast                                         ","IBM                                               ",$5.99
"Northeast                                         ","IBM                                               ",$6.20
"Northeast                                         ","IBM                                               ",$5.61
"Northeast                                         ","IBM                                               ",$6.17
"Northeast                                         ","IBM                                               ",$6.05
"Northeast                                         ","IBM                                               ",$7.52
"Northeast                                         ","IBM                                               ",$6.28
"Northeast                                         ","IBM                                               ",$5.72
"Northeast                                         ","IBM                                               ",$6.26
"Northeast                                         ","IBM                                               ",$6.40
"Northeast                                         ","IBM                                               ",$6.02
"Northeast                                         ","IBM                                               ",$5.87
"Northeast                                         ","IBM                                               ",$8.09
"Northeast                                         ","IBM                                               ",$5.60
"Northeast                                         ","IBM                                               ",$5.98
"Northeast                                         ","IBM                                               ",$6.38
"Northeast                                         ","IBM                                               ",$5.86
"Northeast                                         ","IBM                                               ",$5.69
"Northeast                                         ","IBM                                               ",$5.79
"Northeast                                         ","IBM                                               ",$6.58
"Northeast                                         ","IBM                                               ",$6.47
"Northeast                                         ","IBM                                               ",$5.43
"Northeast                                         ","IBM                                               ",$5.34
"Northeast                                         ","IBM                                               ",$6.00
"Northeast                                         ","IBM                                               ",$5.86
"Northeast                                         ","IBM                                               ",$6.41
"Northeast                                         ","IBM                                               ",$5.85
"Northeast                                         ","IBM                                               ",$5.96
"Northeast                                         ","IBM                                               ",$5.98
"Northeast                                         ","IBM                                               ",$6.35
"Northeast                                         ","IBM                                               ",$5.73
"Northeast                                         ","IBM                                               ",$6.58
"Northeast                                         ","IBM                                               ",$6.11
"Northeast                                         ","Valero Energy                                     ",$5.05
"Northeast                                         ","Valero Energy                                     ",$5.47
"Northeast                                         ","Valero Energy                                     ",$5.29
"Northeast                                         ","Valero Energy                                     ",$5.72
"Northeast                                         ","Valero Energy                                     ",$5.53
"Northeast                                         ","Valero Energy                                     ",$5.47
"Northeast                                         ","Anthem                                            ",$5.08
"Northeast                                         ","Anthem                                            ",$5.07
"Northeast                                         ","Anthem                                            ",$5.13
"Northeast                                         ","Anthem                                            ",$5.03
"Northeast                                         ","Anthem                                            ",$5.18
"Northeast                                         ","Anthem                                            ",$5.15
"Northeast                                         ","Anthem                                            ",$5.03
"Northeast                                         ","Anthem                                            ",$5.07
"Northeast                                         ","Anthem                                            ",$5.13
"Northeast                                         ","Anthem                                            ",$4.99
"Northeast                                         ","Anthem                                            ",$5.08
"Northeast                                         ","Anthem                                            ",$5.14
"Northeast                                         ","Anthem                                            ",$4.99
"Northeast                                         ","Anthem                                            ",$5.07
"Northeast                                         ","Procter & Gamble                                  ",$5.75
"Northeast                                         ","Procter & Gamble                                  ",$5.96
"Northeast                                         ","Procter & Gamble                                  ",$6.18
"Northeast                                         ","Procter & Gamble                                  ",$5.34
