"Northeast                                         ","Walmart                                           ",$5.76
"Northeast                                         ","Kroger                                            ",$5.19
"Northeast                                         ","Amazon.com                                        ",$5.31
"Northeast                                         ","Amazon.com                                        ",$5.56
"Northeast                                         ","Amazon.com                                        ",$5.40
"Northeast                                         ","Amazon.com                                        ",$5.46
"Northeast                                         ","Amazon.com                                        ",$5.79
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.15
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.12
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.15
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.50
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.10
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.31
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.07
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.20
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.05
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.04
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.27
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.18
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.04
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.06
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.18
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.17
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.44
"Northeast                                         ","Walgreens Boots Alliance                          ",$5.14
"Northeast                                         ","HP                                                ",$5.09
"Northeast                                         ","HP                                                ",$5.18
"Northeast                                         ","HP                                                ",$5.16
"Northeast                                         ","HP                                                ",$5.06
"Northeast                                         ","HP                                                ",$5.06
"Northeast                                         ","Cardinal Health                                   ",$5.06
"Northeast                                         ","Express Scripts Holding                           ",$5.45
"Northeast                                         ","Express Scripts Holding                           ",$5.24
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.50
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.06
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.13
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.24
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.17
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.19
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.14
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.05
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.18
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.09
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.09
"Northeast                                         ","J.P. Morgan Chase                                 ",$6.84
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.19
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.62
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.42
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.07
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.13
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.48
"Northeast                                         ","J.P. Morgan Chase                                 ",$5.25
"Northeast                                         ","Boeing                                            ",$5.14
"Northeast                                         ","Boeing                                            ",$5.07
"Northeast                                         ","Boeing                                            ",$5.13
"Northeast                                         ","Boeing                                            ",$5.54
"Northeast                                         ","Boeing                                            ",$5.17
"Northeast                                         ","Boeing                                            ",$7.27
"Northeast                                         ","Microsoft                                         ",$6.31
"Northeast                                         ","Microsoft                                         ",$5.62
"Northeast                                         ","Bank of America Corp.                             ",$5.93
"Northeast                                         ","Bank of America Corp.                             ",$5.88
"Northeast                                         ","Bank of America Corp.                             ",$5.89
"Northeast                                         ","Bank of America Corp.                             ",$6.13
"Northeast                                         ","Bank of America Corp.                             ",$5.86
"Northeast                                         ","Bank of America Corp.                             ",$5.41
"Northeast                                         ","Bank of America Corp.                             ",$6.25
"Northeast                                         ","Wells Fargo                                       ",$5.40
"Northeast                                         ","Wells Fargo                                       ",$5.42
"Northeast                                         ","Wells Fargo                                       ",$5.35
"Northeast                                         ","Wells Fargo                                       ",$5.11
"Northeast                                         ","Wells Fargo                                       ",$6.73
"Northeast                                         ","Wells Fargo                                       ",$5.47
"Northeast                                         ","Wells Fargo                                       ",$5.51
"Northeast                                         ","Wells Fargo                                       ",$5.50
"Northeast                                         ","Wells Fargo                                       ",$5.43
"Northeast                                         ","Wells Fargo                                       ",$5.49
"Northeast                                         ","Wells Fargo                                       ",$5.62
"Northeast                                         ","Wells Fargo                                       ",$5.51
"Northeast                                         ","Wells Fargo                                       ",$5.41
"Northeast                                         ","Wells Fargo                                       ",$5.14
"Northeast                                         ","Wells Fargo                                       ",$5.13
"Northeast                                         ","Wells Fargo                                       ",$5.46
"Northeast                                         ","Wells Fargo                                       ",$5.44
"Northeast                                         ","Wells Fargo                                       ",$5.70
"Northeast                                         ","Home Depot                                        ",$6.23
"Northeast                                         ","Citigroup                                         ",$5.89
"Northeast                                         ","Citigroup                                         ",$6.18
"Northeast                                         ","Citigroup                                         ",$5.19
"Northeast                                         ","Citigroup                                         ",$5.07
"Northeast                                         ","Citigroup                                         ",$6.65
"Northeast                                         ","Citigroup                                         ",$6.05
"Northeast                                         ","Citigroup                                         ",$5.16
"Northeast                                         ","Citigroup                                         ",$5.20
"Northeast                                         ","Citigroup                                         ",$5.50
"Northeast                                         ","Citigroup                                         ",$5.46
"Northeast                                         ","Citigroup                                         ",$5.92
"Northeast                                         ","Citigroup                                         ",$5.15
"Northeast                                         ","Citigroup                                         ",$5.36
"Northeast                                         ","Citigroup                                         ",$5.25
"Northeast                                         ","Citigroup                                         ",$5.06
"Northeast                                         ","Citigroup                                         ",$5.53
"Northeast                                         ","Citigroup                                         ",$5.27
"Northeast                                         ","Citigroup                                         ",$5.85
"Northeast                                         ","Citigroup                                         ",$5.16
"Northeast                                         ","Citigroup                                         ",$6.02
"Northeast                                         ","Citigroup                                         ",$5.14
"Northeast                                         ","Phillips 66                                       ",$5.11
"Northeast                                         ","Phillips 66                                       ",$5.67
"Northeast                                         ","Phillips 66                                       ",$5.44
"Northeast                                         ","Phillips 66                                       ",$6.02
"Northeast                                         ","Phillips 66                                       ",$5.39
"Northeast                                         ","Phillips 66                                       ",$5.34
"Northeast                                         ","Phillips 66                                       ",$5.50
"Northeast                                         ","Phillips 66                                       ",$5.50
"Northeast                                         ","Phillips 66                                       ",$5.69
"Northeast                                         ","Phillips 66                                       ",$5.14
"Northeast                                         ","Phillips 66                                       ",$5.31
"Northeast                                         ","Phillips 66                                       ",$5.47
"Northeast                                         ","Phillips 66                                       ",$5.36
"Northeast                                         ","Phillips 66                                       ",$5.43
"Northeast                                         ","Phillips 66                                       ",$5.34
"Northeast                                         ","Phillips 66                                       ",$5.69
"Northeast                                         ","IBM                                               ",$5.72
"Northeast                                         ","IBM                                               ",$5.92
"Northeast                                         ","IBM                                               ",$5.99
"Northeast                                         ","IBM                                               ",$6.05
"Northeast                                         ","IBM                                               ",$5.72
"Northeast                                         ","IBM                                               ",$5.87
"Northeast                                         ","IBM                                               ",$8.09
"Northeast                                         ","IBM                                               ",$5.86
"Northeast                                         ","IBM                                               ",$5.79
"Northeast                                         ","IBM                                               ",$5.34
"Northeast                                         ","IBM                                               ",$6.00
"Northeast                                         ","IBM                                               ",$5.85
"Northeast                                         ","IBM                                               ",$5.98
"Northeast                                         ","IBM                                               ",$5.73
"Northeast                                         ","IBM                                               ",$6.58
"Northeast                                         ","Valero Energy                                     ",$5.29
"Northeast                                         ","Valero Energy                                     ",$5.72
"Northeast                                         ","Valero Energy                                     ",$5.53
"Northeast                                         ","Valero Energy                                     ",$5.47
"Northeast                                         ","Anthem                                            ",$5.13
"Northeast                                         ","Anthem                                            ",$5.18
"Northeast                                         ","Anthem                                            ",$5.15
"Northeast                                         ","Anthem                                            ",$5.03
"Northeast                                         ","Anthem                                            ",$5.08
"Northeast                                         ","Anthem                                            ",$5.14
"Northeast                                         ","Anthem                                            ",$5.07
"Northeast                                         ","Procter & Gamble                                  ",$6.18
"Northeast                                         ","Procter & Gamble                                  ",$5.34
"Northeast                                         ","Procter & Gamble                                  ",$6.03
"Northeast                                         ","State Farm Insurance Cos.                         ",$5.96
"Northeast                                         ","State Farm Insurance Cos.                         ",$5.37
"Northeast                                         ","Alphabet                                          ",$5.55
"Northeast                                         ","Alphabet                                          ",$5.97
"Northeast                                         ","Comcast                                           ",$5.22
"Northeast                                         ","Comcast                                           ",$5.05
"Northeast                                         ","Comcast                                           ",$5.45
"Northeast                                         ","Target                                            ",$5.56
"Northeast                                         ","Target                                            ",$5.25
"Northeast                                         ","Target                                            ",$5.18
"Northeast                                         ","Target                                            ",$5.42
"Northeast                                         ","Target                                            ",$5.56
"Northeast                                         ","Target                                            ",$5.24
"Northeast                                         ","Target                                            ",$5.76
"Northeast                                         ","Target                                            ",$5.78
"Northeast                                         ","Target                                            ",$5.63
"Northeast                                         ","Target                                            ",$5.07
"Northeast                                         ","Target                                            ",$6.41
"Northeast                                         ","Target                                            ",$5.51
"Northeast                                         ","Target                                            ",$5.26
"Northeast                                         ","Target                                            ",$5.38
"Northeast                                         ","Target                                            ",$5.41
"Northeast                                         ","Target                                            ",$5.22
"Northeast                                         ","Johnson & Johnson                                 ",$5.33
"Northeast                                         ","Johnson & Johnson                                 ",$5.25
"Northeast                                         ","Archer Daniels Midland                            ",$5.50
"Northeast                                         ","Archer Daniels Midland                            ",$5.21
"Northeast                                         ","Archer Daniels Midland                            ",$5.53
"Northeast                                         ","Archer Daniels Midland                            ",$5.31
"Northeast                                         ","Archer Daniels Midland                            ",$5.47
"Northeast                                         ","Archer Daniels Midland                            ",$5.53
"Northeast                                         ","Archer Daniels Midland                            ",$5.33
"Northeast                                         ","Archer Daniels Midland                            ",$5.43
"Northeast                                         ","Archer Daniels Midland                            ",$5.64
"Northeast                                         ","Archer Daniels Midland                            ",$6.07
"Northeast                                         ","Archer Daniels Midland                            ",$5.40
"Northeast                                         ","Archer Daniels Midland                            ",$5.44
"Northeast                                         ","Archer Daniels Midland                            ",$6.83
"Northeast                                         ","Archer Daniels Midland                            ",$5.58
"Northeast                                         ","Archer Daniels Midland                            ",$6.03
"Northeast                                         ","Archer Daniels Midland                            ",$5.49
"Northeast                                         ","Archer Daniels Midland                            ",$5.46
"Northeast                                         ","Archer Daniels Midland                            ",$5.23
"Northeast                                         ","Archer Daniels Midland                            ",$5.20
"Northeast                                         ","Archer Daniels Midland                            ",$5.50
"Northeast                                         ","Archer Daniels Midland                            ",$5.47
"Northeast                                         ","Archer Daniels Midland                            ",$5.74
"Northeast                                         ","Archer Daniels Midland                            ",$5.68
"Northeast                                         ","Archer Daniels Midland                            ",$6.27
"Northeast                                         ","Archer Daniels Midland                            ",$5.72
"Northeast                                         ","Archer Daniels Midland                            ",$5.36
"Northeast                                         ","Archer Daniels Midland                            ",$5.30
"Northeast                                         ","Archer Daniels Midland                            ",$5.40
"Northeast                                         ","Archer Daniels Midland                            ",$5.57
"Northeast                                         ","Archer Daniels Midland                            ",$5.44
"Northeast                                         ","Archer Daniels Midland                            ",$5.27
"Northeast                                         ","Archer Daniels Midland                            ",$5.41
"Northeast                                         ","Archer Daniels Midland                            ",$5.63
"Northeast                                         ","Archer Daniels Midland                            ",$5.25
"Northeast                                         ","Marathon Petroleum                                ",$5.17
"Northeast                                         ","Marathon Petroleum                                ",$5.44
"Northeast                                         ","Marathon Petroleum                                ",$5.19
"Northeast                                         ","Marathon Petroleum                                ",$5.13
"Northeast                                         ","Marathon Petroleum                                ",$5.17
"Northeast                                         ","Marathon Petroleum                                ",$5.22
"Northeast                                         ","Marathon Petroleum                                ",$5.37
"Northeast                                         ","Marathon Petroleum                                ",$5.06
"Northeast                                         ","Marathon Petroleum                                ",$5.22
"Northeast                                         ","Marathon Petroleum                                ",$5.16
"Northeast                                         ","Marathon Petroleum                                ",$5.05
"Northeast                                         ","Marathon Petroleum                                ",$5.24
"Northeast                                         ","Marathon Petroleum                                ",$5.76
"Northeast                                         ","Marathon Petroleum                                ",$5.87
"Northeast                                         ","Marathon Petroleum                                ",$5.25
"Northeast                                         ","Marathon Petroleum                                ",$5.11
"Northeast                                         ","Marathon Petroleum                                ",$5.71
"Northeast                                         ","Freddie Mac                                       ",$5.51
"Northeast                                         ","Freddie Mac                                       ",$5.15
"Northeast                                         ","Freddie Mac                                       ",$5.35
"Northeast                                         ","Freddie Mac                                       ",$5.44
"Northeast                                         ","Freddie Mac                                       ",$5.50
"Northeast                                         ","Freddie Mac                                       ",$5.69
"Northeast                                         ","Freddie Mac                                       ",$5.58
"Northeast                                         ","Freddie Mac                                       ",$5.31
"Northeast                                         ","Freddie Mac                                       ",$5.60
"Northeast                                         ","Freddie Mac                                       ",$5.54
"Northeast                                         ","Freddie Mac                                       ",$5.39
"Northeast                                         ","Freddie Mac                                       ",$5.35
"Northeast                                         ","Freddie Mac                                       ",$5.30
"Northeast                                         ","Freddie Mac                                       ",$5.56
"Northeast                                         ","Freddie Mac                                       ",$5.35
"Northeast                                         ","Freddie Mac                                       ",$5.37
"Northeast                                         ","Freddie Mac                                       ",$5.42
"Northeast                                         ","Freddie Mac                                       ",$5.69
"Northeast                                         ","Freddie Mac                                       ",$5.22
"Northeast                                         ","Freddie Mac                                       ",$5.52
"Northeast                                         ","Freddie Mac                                       ",$5.70
"Northeast                                         ","Freddie Mac                                       ",$5.26
"Northeast                                         ","Freddie Mac                                       ",$5.44
"Northeast                                         ","Freddie Mac                                       ",$5.42
"Northeast                                         ","Freddie Mac                                       ",$5.58
"Northeast                                         ","Freddie Mac                                       ",$5.59
"Northeast                                         ","Freddie Mac                                       ",$5.34
"Northeast                                         ","Freddie Mac                                       ",$5.43
"Northeast                                         ","Freddie Mac                                       ",$5.34
"Northeast                                         ","PepsiCo                                           ",$5.84
"Northeast                                         ","PepsiCo                                           ",$5.95
"Northeast                                         ","United Technologies                               ",$5.52
"Northeast                                         ","United Technologies                               ",$5.40
"Northeast                                         ","United Technologies                               ",$5.17
"Northeast                                         ","United Technologies                               ",$5.65
"Northeast                                         ","United Technologies                               ",$5.18
"Northeast                                         ","United Technologies                               ",$5.45
"Northeast                                         ","United Technologies                               ",$5.38
"Northeast                                         ","United Technologies                               ",$5.21
"Northeast                                         ","United Technologies                               ",$5.42
"Northeast                                         ","United Technologies                               ",$5.36
"Northeast                                         ","United Technologies                               ",$5.36
"Northeast                                         ","United Technologies                               ",$5.57
"Northeast                                         ","United Technologies                               ",$5.20
"Northeast                                         ","United Technologies                               ",$5.33
"Northeast                                         ","United Technologies                               ",$5.59
"Northeast                                         ","United Technologies                               ",$6.39
"Northeast                                         ","United Technologies                               ",$5.24
"Northeast                                         ","United Technologies                               ",$5.22
"Northeast                                         ","United Technologies                               ",$5.26
"Northeast                                         ","United Technologies                               ",$5.52
"Northeast                                         ","United Technologies                               ",$5.58
"Northeast                                         ","United Technologies                               ",$5.66
"Northeast                                         ","United Technologies                               ",$5.55
"Northeast                                         ","United Technologies                               ",$5.22
"Northeast                                         ","United Technologies                               ",$5.37
"Northeast                                         ","United Technologies                               ",$5.78
"Northeast                                         ","United Technologies                               ",$5.61
"Northeast                                         ","United Technologies                               ",$5.36
"Northeast                                         ","United Technologies                               ",$5.55
"Northeast                                         ","United Technologies                               ",$5.53
"Northeast                                         ","Aetna                                             ",$6.32
"Northeast                                         ","Aetna                                             ",$5.49
"Northeast                                         ","Aetna                                             ",$5.37
"Northeast                                         ","Aetna                                             ",$5.31
"Northeast                                         ","Aetna                                             ",$5.30
"Northeast                                         ","Aetna                                             ",$5.30
"Northeast                                         ","Aetna                                             ",$5.30
"Northeast                                         ","Aetna                                             ",$5.45
"Northeast                                         ","Aetna                                             ",$5.52
"Northeast                                         ","Aetna                                             ",$5.74
"Northeast                                         ","Aetna                                             ",$6.67
"Northeast                                         ","Aetna                                             ",$5.49
"Northeast                                         ","Aetna                                             ",$5.24
"Northeast                                         ","Aetna                                             ",$5.49
"Northeast                                         ","Aetna                                             ",$5.38
"Northeast                                         ","Aetna                                             ",$5.32
"Northeast                                         ","Aetna                                             ",$5.28
"Northeast                                         ","Aetna                                             ",$5.40
"Northeast                                         ","Aetna                                             ",$5.59
