"Ford Motor                                        ",65571.97,Low
"Boeing                                            ",65091.39,Low
"Dominion Resources                                ",64604,Low
"CarMax                                            ",64251.56,Low
"Citigroup                                         ",63746.46,Low
"Precision Castparts                               ",63743.89,Low
"Cognizant Technology Solutions                    ",62504.05,Low
"Phillips 66                                       ",62166.06,Low
"Time Warner                                       ",61892.96,Low
"Genuine Parts                                     ",61561.44,Low
"Visa                                              ",61255.5,Low
"Verizon                                           ",61216.36,Low
"Aetna                                             ",60874.2,Low
"Anadarko Petroleum                                ",60608.48,Low
"eBay                                              ",60091.69,Low
"Kroger                                            ",59946.4,Low
"NRG Energy                                        ",59727.21,Low
"International Paper                               ",59086.76,Low
"Time Warner Cable                                 ",57130.53,Low
"Eversource Energy                                 ",57059.76,Low
"Discover Financial Services                       ",57035.05,Low
"Community Health Systems                          ",56644.6,Low
"Honeywell International                           ",56479.14,Low
"Toys 'R' Us                                       ",56179.21,Low
"HP                                                ",56162.34,Low
"United Technologies                               ",55965.46,Low
"J.P. Morgan Chase                                 ",55802,Low
"Philip Morris International                       ",52570.66,Low
"Valero Energy                                     ",52020.6,Low
"Freeport-McMoRan                                  ",49162.7,Low
"Office Depot                                      ",49027.1,Low
"Qualcomm                                          ",48862.43,Low
"Entergy                                           ",48856.27,Low
"BlackRock                                         ",48670.82,Low
"Northrop Grumman                                  ",48578.16,Low
"Texas Instruments                                 ",48529.08,Low
"Paccar                                            ",47685.04,Low
"Performance Food Group                            ",47645.86,Low
"USAA                                              ",46822.63,Low
"Chevron                                           ",46725.41,Low
"Nucor                                             ",46401.28,Low
"First Data                                        ",45967.25,Low
"Walgreens Boots Alliance                          ",45276.27,Low
"Aflac                                             ",45241.58,Low
"Cisco Systems                                     ",45220.15,Low
"Anthem                                            ",44875.42,Low
"PayPal Holdings                                   ",44735.91,Low
"CenturyLink                                       ",44535.04,Low
"Alphabet                                          ",44407.22,Low
"Land O'Lakes                                      ",44322.12,Low
"Cigna                                             ",44318.37,Low
"Merck                                             ",43631.17,Low
"Marathon Petroleum                                ",43431.35,Low
"Lowe's                                            ",43292.28,Low
"Progressive                                       ",43011.91,Low
"Cameron International                             ",42997.34,Low
"Charter Communications                            ",42773.23,Low
"CST Brands                                        ",42674.22,Low
"United Continental Holdings                       ",42573.91,Low
"PNC Financial Services Group                      ",42237.28,Low
"American Express                                  ",41864.13,Low
"TJX                                               ",41712.71,Low
"Global Partners                                   ",41690.4,Low
"American Family Insurance Group                   ",41540.98,Low
"BorgWarner                                        ",41242.06,Low
"Colgate-Palmolive                                 ",40818.88,Low
"FedEx                                             ",40738.29,Low
"NGL Energy Partners                               ",40607.07,Low
"Southwest Airlines                                ",40539.45,Low
"Farmers Insurance Exchange                        ",39949.41,Low
"Stanley Black & Decker                            ",39805.61,Low
"Kellogg                                           ",39586.71,Low
"New York Life Insurance                           ",39379.37,Low
"Best Buy                                          ",39104.09,Low
"Icahn Enterprises                                 ",38851.15,Low
"Ameriprise Financial                              ",38619.07,Low
"Sempra Energy                                     ",38569.85,Low
"GameStop                                          ",38469.65,Low
"FirstEnergy                                       ",38215.53,Low
"Thrivent Financial for Lutherans                  ",38204.46,Low
"Estee Lauder                                      ",38198.82,Low
"Johnson Controls                                  ",37796.28,Low
"Ally Financial                                    ",37653.96,Low
"Ecolab                                            ",37527.67,Low
"Mondelez International                            ",37465.37,Low
"ADP                                               ",37456.04,Low
"Edison International                              ",37010.95,Low
"EMC                                               ",36982.12,Low
"Omnicom Group                                     ",36801.71,Low
"Republic Services                                 ",36695.68,Low
"Reynolds American                                 ",36668.29,Low
"Altria Group                                      ",36318.37,Low
"Murphy USA                                        ",36294.27,Low
"R.R. Donnelley & Sons                             ",36218.43,Low
"Becton Dickinson                                  ",35961.76,Low
"CSX                                               ",35759.7,Low
"Henry Schein                                      ",35487.34,Low
"Cummins                                           ",34839.82,Low
"Southern                                          ",34809.88,Low
"News Corp.                                        ",34675.03,Low
"Coca-Cola                                         ",34286.62,Low
"DaVita HealthCare Partners                        ",33982.78,Low
"Viacom                                            ",33673.86,Low
"Monsanto                                          ",33253.29,Low
"AutoNation                                        ",33196.76,Low
"Tenet Healthcare                                  ",33028.08,Low
"Humana                                            ",32937.93,Low
"Halliburton                                       ",32645.38,Low
"American Electric Power                           ",32044.55,Low
"Enterprise Products Partners                      ",31971.72,Low
"HD Supply Holdings                                ",31899.58,Low
"Nordstrom                                         ",31273.02,Low
"Oracle                                            ",31231.56,Low
"Costco                                            ",30741.01,Low
"Group 1 Automotive                                ",30708.92,Low
"PepsiCo                                           ",30095.72,Low
"American Airlines Group                           ",30083.18,Low
"Kimberly-Clark                                    ",29151.21,Low
"Amazon.com                                        ",28678.06,Low
"Yum Brands                                        ",28296.53,Low
"Health Net                                        ",27733.33,Low
"US Foods Holding                                  ",27074.63,Low
"Dean Foods                                        ",26514.93,Low
"Penske Automotive Group                           ",26485.87,Low
"Textron                                           ",26339.7,Low
"Campbell Soup                                     ",25765.95,Low
"Kraft Heinz                                       ",25765.17,Low
"Ingram Micro                                      ",25198.55,Low
"Union Pacific                                     ",25107.81,Low
"Ross Stores                                       ",24961.87,Low
"CVS Health                                        ",23667.51,Low
"Facebook                                          ",23522.79,Low
"Procter & Gamble                                  ",22961.03,Low
"Unum Group                                        ",22734.13,Low
"Baxter International                              ",22681.17,Low
"Navistar International                            ",22484.81,Low
"L-3 Communications                                ",22266.77,Low
"Norfolk Southern                                  ",22100.01,Low
"PPG Industries                                    ",21960.88,Low
"UnitedHealth Group                                ",21937.08,Low
"Aramark                                           ",21692.01,Low
"Morgan Stanley                                    ",20277.57,Low
"Hartford Financial Services Group                 ",20257.43,Low
"Whole Foods Market                                ",20240.66,Low
"Peter Kiewit Sons'                                ",20232.97,Low
"Huntsman                                          ",20092.35,Low
"Xcel Energy                                       ",19975.91,Low
"Masco                                             ",19963.61,Low
"Alcoa                                             ",19882.16,Low
"Energy Transfer Equity                            ",19539.86,Low
"Biogen                                            ",19386.53,Low
"Tech Data                                         ",19218.88,Low
"AT&T                                              ",19191.14,Low
"ConAgra Foods                                     ",19142.48,Low
"Computer Sciences                                 ",19092.14,Low
"Express Scripts Holding                           ",19090.45,Low
"Praxair                                           ",19023.36,Low
"Hilton Worldwide Holdings                         ",18745.86,Low
"AECOM                                             ",18491.51,Low
"VF                                                ",18251.39,Low
"Johnson & Johnson                                 ",18242.74,Low
"Tyson Foods                                       ",18088.57,Low
"Exelon                                            ",18081.58,Low
"Travelers Cos.                                    ",17808.16,Low
"L Brands                                          ",17439.25,Low
"MGM Resorts International                         ",16976.76,Low
"Liberty Mutual Insurance Group                    ",16923.55,Low
"Gap                                               ",16791.91,Low
"Univar                                            ",16626.6,Low
"Eastman Chemical                                  ",16303.42,Low
"Marsh & McLennan                                  ",16257.21,Low
"DuPont                                            ",15862.76,Low
"Voya Financial                                    ",15782.23,Low
"Staples                                           ",15716.26,Low
"ConocoPhillips                                    ",15578.4,Low
"Microsoft                                         ",15454.01,Low
"McKesson                                          ",15184.46,Low
"Principal Financial                               ",15177.8,Low
"Starbucks                                         ",14875.19,Low
"SpartanNash                                       ",14629.16,Low
"Tesoro                                            ",14482.6,Low
"Owens & Minor                                     ",13507.23,Low
"WestRock                                          ",13282.42,Low
"AES                                               ",13038.64,Low
"Comcast                                           ",12868.38,Low
"Northwestern Mutual                               ",11862.92,Low
"Air Products & Chemicals                          ",11814.55,Low
"General Electric                                  ",11743.47,Low
"Plains GP Holdings                                ",11531.7,Low
"DTE Energy                                        ",11501.84,Low
"AbbVie                                            ",11243.63,Low
"Hertz Global Holdings                             ",10959.77,Low
"World Fuel Services                               ",10833.11,Low
"Marriott International                            ",10779.77,Low
"PVH                                               ",10699.35,Low
"UPS                                               ",10678.77,Low
"MasterCard                                        ",10555.35,Low
"PBF Energy                                        ",10535.88,Low
"HCA Holdings                                      ",10323.23,Low
"Autoliv                                           ",10282.96,Low
"Reinsurance Group of America                      ",10264.51,Low
"Dollar Tree                                       ",10212.06,Low
"Reliance Steel & Aluminum                         ",10187.64,Low
"Waste Management                                  ",10067.87,Low
"General Motors                                    ",9995.05,Low
"AIG                                               ",9980.93,Low
"Western Refining                                  ",9855.41,Low
"WellCare Health Plans                             ",9743.13,Low
"CBRE Group                                        ",9715.71,Low
"Newmont Mining                                    ",9618.81,Low
"Macy's                                            ",9613.32,Low
"Devon Energy                                      ",9536.55,Low
"Apple                                             ",9341.65,Low
"Eli Lilly                                         ",9339.2,Low
"Xerox                                             ",8759.93,Low
"CBS                                               ",8648.07,Low
"Dow Chemical                                      ",8431.81,Low
"W.W. Grainger                                     ",8384.61,Low
"Publix Super Markets                              ",8364.4,Low
"Danaher                                           ",8133.47,Low
"TIAA                                              ",7971.51,Low
"Corning                                           ",7940.37,Low
"MetLife                                           ",7615.47,Low
"Berkshire Hathaway                                ",7474.32,Low
"C.H. Robinson Worldwide                           ",7460.32,Low
"ManpowerGroup                                     ",7313.08,Low
"Cardinal Health                                   ",7210.91,Low
"Sonic Automotive                                  ",7192.13,Low
"Advance Auto Parts                                ",6962.07,Low
"Liberty Interactive                               ",6497.7,Low
"Genworth Financial                                ",6402.38,Low
"Tenneco                                           ",5739.63,Low
"Veritiv                                           ",5735.41,Low
"Rite Aid                                          ",5616.9,Low
"NextEra Energy                                    ",5321.23,Low
"Universal Health Services                         ",5269.51,Low
"Stryker                                           ",4521.36,Low
"Fannie Mae                                        ",3780.53,Low
"J.C. Penney                                       ",3253.04,Low
"Applied Materials                                 ",3093.95,Low
"Mohawk Industries                                 ",3025.65,Low
"Oneok                                             ",2844.46,Low
"Exxon Mobil                                       ",2734.59,Low
"Consolidated Edison                               ",2674.04,Low
"Lennar                                            ",2670.97,Low
"Loews                                             ",2566.22,Low
"Lockheed Martin                                   ",2440.31,Low
"Micron Technology                                 ",2438.51,Low
"Sherwin-Williams                                  ",2372.95,Low
"INTL FCStone                                      ",2372.11,Low
"Bank of New York Mellon Corp.                     ",2155.98,Low
"Priceline Group                                   ",2129.24,Low
"Ball                                              ",1982.74,Low
"Assurant                                          ",1235.81,Low
"Las Vegas Sands                                   ",1113.29,Low
"Deere                                             ",1036.57,Low
"Delta Air Lines                                   ",859.64,Low
